Rank,Place,State,Census,Estimates Base,2010,2011,latitude,longitude
1,New York city,New York,"8,175,133","8,175,133","8,186,443","8,244,910",40.730599,-73.986581
2,Los Angeles city,California,"3,792,621","3,792,625","3,795,761","3,819,702",19.363055,-99.247796
3,Chicago city,Illinois,"2,695,598","2,695,598","2,698,283","2,707,120",17.814947,-88.311548
4,Houston city,Texas,"2,099,451","2,099,430","2,108,278","2,145,146",41.337302,-75.73297
5,Philadelphia city,Pennsylvania,"1,526,006","1,526,006","1,528,074","1,536,471",36.723483,-76.593562
6,Phoenix city,Arizona,"1,445,632","1,445,656","1,448,531","1,469,471",30.555139,104.04978
7,San Antonio city,Texas,"1,327,407","1,327,606","1,334,431","1,359,758",7.130837,125.747808
8,San Diego city,California,"1,307,402","1,307,406","1,311,516","1,326,179",19.575758,-99.133289
9,Dallas city,Texas,"1,197,816","1,197,816","1,201,715","1,223,229",41.940897,-78.555579
10,San Jose city,California,"945,942","952,612","955,091","967,487",15.791741,120.989145
11,Jacksonville city,Florida,"821,784","821,784","822,883","827,908",40.070886,-74.84843
12,Indianapolis city (balance),Indiana,"820,445","820,442","821,708","827,609",39.78373,-100.445882
13,Austin city,Texas,"790,390","790,390","795,378","820,611",38.781095,-107.950898
14,San Francisco city,California,"805,235","805,235","805,340","812,826",37.779277,-122.41927
15,Columbus city,Ohio,"787,033","787,073","788,696","797,434",34.460644,-86.233315
16,Fort Worth city,Texas,"741,206","742,030","745,231","758,738",-33.962545,18.639268
17,Charlotte city,North Carolina,"731,424","731,424","734,216","751,087",38.959105,-94.580993
18,Detroit city,Michigan,"713,777","713,777","711,700","706,585",14.674334,121.10036
19,El Paso city,Texas,"649,121","649,152","651,881","665,568",-34.607566,-58.403463
20,Memphis city,Tennessee,"646,889","646,889","647,780","652,050",31.799025,-106.443639
21,Boston city,Massachusetts,"617,594","617,594","618,147","625,087",36.735428,-76.600785
22,Seattle city,Washington,"608,660","608,660","610,480","620,778",25.18416,121.44694
23,Denver city,Colorado,"600,158","600,008","603,440","619,968",32.964548,-102.829096
24,Baltimore city,Maryland,"620,961","620,961","620,560","619,493",39.78373,-100.445882
25,Washington city,District of Columbia,"601,723","601,723","604,912","617,996",38.894955,-77.036646
26,Nashville-Davidson metropolitan government (balance),Tennessee,"601,222","601,222","602,537","609,644",39.78373,-100.445882
27,Louisville/Jefferson County metro government (balance),Kentucky,"597,337","597,337","598,207","602,011",39.78373,-100.445882
28,Milwaukee city,Wisconsin,"594,833","594,832","595,407","597,867",19.387383,-99.178516
29,Portland city,Oregon,"583,776","583,776","585,474","593,820",19.363939,-99.249048
30,Oklahoma City city,Oklahoma,"579,999","580,001","582,352","591,967",35.473444,-97.518506
31,Las Vegas city,Nevada,"583,756","583,748","584,539","589,317",35.489485,-97.549931
32,Albuquerque city,New Mexico,"545,852","545,852","547,392","552,804",35.144828,-106.613232
33,Tucson city,Arizona,"520,116","520,097","521,180","525,796",39.78373,-100.445882
34,Fresno city,California,"494,665","494,735","496,181","501,362",20.210278,-98.992778
35,Sacramento city,California,"466,488","466,488","467,575","472,178",14.890102,-90.558705
36,Long Beach city,California,"462,257","462,257","462,645","465,576",39.78373,-100.445882
37,Kansas City city,Missouri,"459,787","459,787","460,724","463,202",37.785426,-122.289152
38,Mesa city,Arizona,"439,041","439,193","440,079","446,518",50.675786,-120.424031
39,Virginia Beach city,Virginia,"437,994","437,994","439,122","442,707",36.59432,-75.887601
40,Atlanta city,Georgia,"420,003","420,005","422,387","432,427",19.380696,-99.178926
41,Colorado Springs city,Colorado,"416,427","416,427","419,745","426,388",38.803184,-104.699753
42,Raleigh city,North Carolina,"403,892","403,903","406,432","416,468",36.787371,-76.283551
43,Omaha city,Nebraska,"408,958","408,962","410,170","415,068",37.891713,-88.320043
44,Miami city,Florida,"399,457","399,457","400,509","408,750",25.184732,121.446608
45,Tulsa city,Oklahoma,"391,906","391,901","393,166","396,466",36.120596,-95.985336
46,Oakland city,California,"390,724","390,724","391,445","395,817",38.338659,-87.345013
47,Cleveland city,Ohio,"396,815","396,815","396,166","393,806",19.379985,-99.180601
48,Minneapolis city,Minnesota,"382,578","382,578","383,108","387,753",26.039853,-80.295064
49,Wichita city,Kansas,"382,368","382,368","383,085","384,445",37.785506,-122.288579
50,Arlington city,Texas,"365,438","365,438","367,021","373,698",40.632326,-74.165144
51,New Orleans city,Louisiana,"343,829","343,829","347,907","360,740",14.627215,121.045395
52,Bakersfield city,California,"347,483","347,462","348,541","352,428",38.319083,-77.496358
53,Tampa city,Florida,"335,709","335,709","336,820","346,037",27.960633,-82.441897
54,Anaheim city,California,"336,265","336,265","337,089","341,361",33.782108,-118.297551
55,Urban Honolulu CDP,Hawaii,"337,256","337,256","338,119","340,936",39.78373,-100.445882
56,Aurora city,Colorado,"325,078","325,078","326,650","332,354",-33.830278,18.631944
57,Santa Ana city,California,"324,528","324,528","325,321","329,427",14.583335,121.013041
58,St. Louis city,Missouri,"319,294","319,294","319,008","318,069",38.627273,-90.197889
59,Riverside city,California,"303,871","303,871","305,679","310,651",-34.019995,18.362116
60,Corpus Christi city,Texas,"305,215","305,215","305,349","307,953",14.730827,121.064717
61,Pittsburgh city,Pennsylvania,"305,704","305,704","306,956","307,484",40.730599,-73.986581
62,Lexington-Fayette urban county,Kentucky,"295,803","295,803","296,792","301,569",19.363055,-99.247796
63,Stockton city,California,"291,707","291,707","292,711","296,357",17.814947,-88.311548
64,Cincinnati city,Ohio,"296,943","296,950","296,797","296,223",41.337302,-75.73297
65,Anchorage municipality,Alaska,"291,826","291,826","293,356","295,570",36.723483,-76.593562
66,St. Paul city,Minnesota,"285,068","285,068","285,414","288,448",30.555139,104.04978
67,Toledo city,Ohio,"287,208","287,208","287,031","286,038",7.130837,125.747808
68,Newark city,New Jersey,"277,140","277,140","277,185","277,540",19.575758,-99.133289
69,Greensboro city,North Carolina,"269,666","269,668","270,364","273,425",41.940897,-78.555579
70,Plano city,Texas,"259,841","259,841","261,888","269,776",15.791741,120.989145
71,Lincoln city,Nebraska,"258,379","258,381","259,044","262,341",40.070886,-74.84843
72,Buffalo city,New York,"261,310","261,310","261,229","261,025",39.78373,-100.445882
73,Henderson city,Nevada,"257,729","257,581","257,934","260,068",38.781095,-107.950898
74,Fort Wayne city,Indiana,"253,691","253,691","254,015","255,824",37.779277,-122.41927
75,Jersey City city,New Jersey,"247,597","247,597","247,876","250,323",34.460644,-86.233315
76,Chula Vista city,California,"243,916","243,916","244,710","247,535",-33.962545,18.639268
77,St. Petersburg city,Florida,"244,769","244,769","244,683","244,997",38.959105,-94.580993
78,Orlando city,Florida,"238,300","238,304","238,902","243,195",14.674334,121.10036
79,Norfolk city,Virginia,"242,803","242,803","242,915","242,628",-34.607566,-58.403463
80,Laredo city,Texas,"236,091","236,100","237,252","241,935",31.799025,-106.443639
81,Chandler city,Arizona,"236,123","236,139","236,619","240,101",36.735428,-76.600785
82,Madison city,Wisconsin,"233,209","233,209","233,732","236,901",25.18416,121.44694
83,Lubbock city,Texas,"229,573","229,573","230,713","233,740",32.964548,-102.829096
84,Durham city,North Carolina,"228,330","228,329","229,027","233,252",39.78373,-100.445882
